Time (min),Temperature (°C),Compressor State,Error (°C),Perturbation (°C)
0,24.0,0,2.0,0.0
1,23.8,1,1.8000000000000007,0.0
2,23.6,1,1.6000000000000014,0.0
3,23.400000000000002,1,1.4000000000000021,0.0
4,23.200000000000003,1,1.2000000000000028,0.0
5,23.000000000000004,1,1.0000000000000036,0.0
6,22.800000000000004,1,0.8000000000000043,0.0
7,22.600000000000005,1,0.600000000000005,0.0
8,22.400000000000006,1,0.4000000000000057,0.0
9,22.200000000000006,1,0.2000000000000064,0.0
10,22.000000000000007,1,7.105427357601002e-15,0.0
11,21.800000000000008,1,-0.19999999999999218,0.0
12,21.60000000000001,1,-0.3999999999999915,0.0
13,21.40000000000001,1,-0.5999999999999908,0.0
14,21.40000000000001,0,-0.5999999999999908,0.0
15,21.40000000000001,0,-0.5999999999999908,0.0
16,21.40000000000001,0,-0.5999999999999908,0.0
17,21.40000000000001,0,-0.5999999999999908,0.0
18,21.40000000000001,0,-0.5999999999999908,0.0
19,21.40000000000001,0,-0.5999999999999908,0.0
20,21.40000000000001,0,-0.5999999999999908,0.0
21,24.20000000000001,1,2.20000000000001,3.0
22,27.00000000000001,1,5.000000000000011,3.0
23,26.80000000000001,1,4.800000000000011,0.0
24,26.600000000000012,1,4.600000000000012,0.0
25,26.400000000000013,1,4.400000000000013,0.0
26,26.200000000000014,1,4.2000000000000135,0.0
27,26.000000000000014,1,4.000000000000014,0.0
28,25.800000000000015,1,3.800000000000015,0.0
29,25.600000000000016,1,3.6000000000000156,0.0
30,25.400000000000016,1,3.4000000000000163,0.0
31,25.200000000000017,1,3.200000000000017,0.0
32,25.000000000000018,1,3.0000000000000178,0.0
33,24.80000000000002,1,2.8000000000000185,0.0
34,24.60000000000002,1,2.600000000000019,0.0
35,24.40000000000002,1,2.40000000000002,0.0
36,24.20000000000002,1,2.2000000000000206,0.0
37,24.00000000000002,1,2.0000000000000213,0.0
38,23.800000000000022,1,1.800000000000022,0.0
39,23.600000000000023,1,1.6000000000000227,0.0
40,23.400000000000023,1,1.4000000000000234,0.0
41,23.200000000000024,1,1.2000000000000242,0.0
42,23.000000000000025,1,1.0000000000000249,0.0
43,22.800000000000026,1,0.8000000000000256,0.0
44,22.600000000000026,1,0.6000000000000263,0.0
45,22.400000000000027,1,0.400000000000027,0.0
46,22.200000000000028,1,0.2000000000000277,0.0
47,22.00000000000003,1,2.842170943040401e-14,0.0
48,21.80000000000003,1,-0.19999999999997087,0.0
49,21.60000000000003,1,-0.39999999999997016,0.0
50,21.40000000000003,1,-0.5999999999999694,0.0
51,21.40000000000003,0,-0.5999999999999694,0.0
52,21.40000000000003,0,-0.5999999999999694,0.0
53,21.40000000000003,0,-0.5999999999999694,0.0
54,21.40000000000003,0,-0.5999999999999694,0.0
55,21.40000000000003,0,-0.5999999999999694,0.0
56,21.40000000000003,0,-0.5999999999999694,0.0
57,21.40000000000003,0,-0.5999999999999694,0.0
58,21.40000000000003,0,-0.5999999999999694,0.0
59,21.40000000000003,0,-0.5999999999999694,0.0
60,21.40000000000003,0,-0.5999999999999694,0.0
61,21.40000000000003,0,-0.5999999999999694,0.0
62,21.40000000000003,0,-0.5999999999999694,0.0
63,21.40000000000003,0,-0.5999999999999694,0.0
64,21.40000000000003,0,-0.5999999999999694,0.0
65,21.40000000000003,0,-0.5999999999999694,0.0
66,21.40000000000003,0,-0.5999999999999694,0.0
67,21.40000000000003,0,-0.5999999999999694,0.0
68,21.40000000000003,0,-0.5999999999999694,0.0
69,21.40000000000003,0,-0.5999999999999694,0.0
70,21.40000000000003,0,-0.5999999999999694,0.0
71,23.20000000000003,1,1.2000000000000313,2.0
72,25.000000000000032,1,3.000000000000032,2.0
73,26.800000000000033,1,4.800000000000033,2.0
74,28.600000000000033,1,6.600000000000033,2.0
75,28.400000000000034,1,6.400000000000034,0.0
76,28.200000000000035,1,6.200000000000035,0.0
77,28.000000000000036,1,6.0000000000000355,0.0
78,27.800000000000036,1,5.800000000000036,0.0
79,27.600000000000037,1,5.600000000000037,0.0
80,27.400000000000038,1,5.400000000000038,0.0
81,27.20000000000004,1,5.200000000000038,0.0
82,27.00000000000004,1,5.000000000000039,0.0
83,26.80000000000004,1,4.80000000000004,0.0
84,26.60000000000004,1,4.6000000000000405,0.0
85,26.40000000000004,1,4.400000000000041,0.0
86,26.200000000000042,1,4.200000000000042,0.0
87,26.000000000000043,1,4.000000000000043,0.0
88,25.800000000000043,1,3.8000000000000433,0.0
89,25.600000000000044,1,3.600000000000044,0.0
90,25.400000000000045,1,3.4000000000000448,0.0
91,25.200000000000045,1,3.2000000000000455,0.0
92,25.000000000000046,1,3.000000000000046,0.0
93,24.800000000000047,1,2.800000000000047,0.0
94,24.600000000000048,1,2.6000000000000476,0.0
95,24.40000000000005,1,2.4000000000000483,0.0
96,24.20000000000005,1,2.200000000000049,0.0
97,24.00000000000005,1,2.0000000000000497,0.0
98,23.80000000000005,1,1.8000000000000504,0.0
99,23.60000000000005,1,1.6000000000000512,0.0
100,23.400000000000052,1,1.4000000000000519,0.0
